Store Number,A B Region,Store Type,FY 15 OOS Rate
4679,5,Supercenter,5.00%
4681,2,Supercenter,10.20%
4682,1,Supercenter,5.20%
4683,5,Supercenter,6.70%
4689,6,Supercenter,4.40%
4690,2,Supercenter,2.60%
4695,3,Supercenter,3.20%
4696,6,Supercenter,6.60%
4697,1,Supercenter,3.20%
4699,3,Supercenter,7.20%
4849,4,SUPERCENTER,10.50%
4865,4,SUPERCENTER,3.20%
5003,6,SUPERCENTER,
5022,5,Supercenter,3.00%
5025,3,Supercenter,2.50%
5027,1,Supercenter,7.60%
5028,3,Supercenter,4.80%
5029,3,Supercenter,3.50%
5030,3,Supercenter,5.10%
5031,7,Supercenter,3.50%
5033,6,Supercenter,6.20%
5034,2,Supercenter,2.30%
5035,2,Supercenter,1.20%
5036,2,Supercenter,4.40%
5037,2,Supercenter,4.40%
5038,3,Supercenter,10.20%
5041,6,Supercenter,2.90%
5044,3,Supercenter,1.20%
5045,5,Supercenter,4.90%
5046,2,Supercenter,2.80%
5048,3,Supercenter,8.60%
5051,6,Supercenter,2.80%
5054,2,Supercenter,4.30%
5055,2,Supercenter,5.30%
5056,5,Supercenter,5.60%
5057,2,Supercenter,2.10%
5058,2,Supercenter,4.30%
5060,3,Supercenter,2.30%
5063,2,Supercenter,6.10%
5064,3,Supercenter,5.00%
5065,3,Supercenter,4.70%
5066,3,Supercenter,10.60%
5070,7,Supercenter,1.70%
5071,5,Supercenter,3.40%
5075,7,Supercenter,6.20%
5076,1,Supercenter,3.20%
5078,6,Supercenter,2.50%
5079,2,Supercenter,2.90%
5080,5,Supercenter,5.20%
5085,2,Supercenter,2.10%
5087,2,Supercenter,4.30%
5088,3,Supercenter,4.50%
5090,3,Supercenter,0.90%
5091,5,Supercenter,3.10%
5092,5,Supercenter,2.80%
5096,7,Supercenter,3.70%
5097,3,Supercenter,5.00%
5099,6,Supercenter,1.10%
5101,7,Supercenter,4.20%
5104,3,Supercenter,3.00%
5105,1,Supercenter,1.00%
5113,2,Supercenter,5.00%
5115,4,Supercenter,2.90%
5116,5,Supercenter,3.10%
5117,1,Supercenter,2.70%
5118,2,Supercenter,3.90%
5123,6,Supercenter,3.50%
5124,7,Supercenter,3.50%
5126,2,Supercenter,4.90%
5127,3,Supercenter,1.00%
5133,7,Supercenter,7.30%
5134,7,Supercenter,3.90%
5136,7,Supercenter,5.70%
5137,6,Supercenter,6.60%
5139,7,Supercenter,3.70%
5141,4,Supercenter,1.00%
5144,5,Supercenter,3.10%
5145,5,Supercenter,7.80%
5146,5,Supercenter,5.30%
5147,5,Supercenter,3.30%
5150,4,Supercenter,2.60%
5151,2,Supercenter,3.00%
5154,7,Supercenter,8.50%
5155,5,Supercenter,12.40%
5156,7,Supercenter,3.40%
5157,3,Supercenter,5.90%
5159,3,Supercenter,2.80%
5160,3,Supercenter,5.10%
5162,7,Supercenter,2.90%
5165,5,Supercenter,3.70%
5166,5,Supercenter,6.80%
5167,6,Supercenter,4.90%
5168,6,Supercenter,3.80%
5170,4,Supercenter,2.70%
5172,2,Supercenter,2.50%
5173,2,Supercenter,2.90%
5174,2,Supercenter,3.60%
5175,2,Supercenter,1.50%
5184,3,Supercenter,3.40%
5185,3,Supercenter,2.80%
5186,7,Supercenter,1.50%
5190,7,Supercenter,2.60%
5191,5,Supercenter,2.90%
5192,7,Supercenter,3.20%
5193,7,Supercenter,3.80%
5196,2,Supercenter,9.90%
5197,2,Supercenter,3.80%
5199,3,Supercenter,3.20%
5203,3,Supercenter,4.20%
5210,5,Supercenter,3.30%
5211,5,Supercenter,3.60%
5215,7,Supercenter,11.30%
5216,5,SUPERCENTER,
5218,2,Supercenter,6.40%
5220,2,Supercenter,8.20%
5230,7,Supercenter,5.50%
5231,7,Supercenter,4.10%
5232,6,Supercenter,4.90%
5233,6,Supercenter,2.80%
5234,6,Supercenter,3.20%
5235,6,Supercenter,2.40%
5236,3,Supercenter,3.00%
5240,1,Supercenter,4.50%
5242,1,Supercenter,6.00%
5244,5,Supercenter,2.50%
5245,5,Supercenter,3.40%
5246,5,Supercenter,1.60%
5247,5,Supercenter,3.10%
5250,2,Supercenter,5.90%
5251,2,Supercenter,1.90%
5252,2,Supercenter,2.40%
5253,1,Supercenter,3.20%
5254,2,Supercenter,3.90%
5260,5,Supercenter,3.60%
5261,4,Supercenter,0.80%
5262,2,Supercenter,3.30%
5263,2,Supercenter,1.50%
5264,2,Supercenter,1.10%
5266,2,Supercenter,2.50%
5270,6,Supercenter,3.50%
5272,6,Supercenter,4.40%
5273,6,Supercenter,5.00%
5275,2,Supercenter,3.20%
5282,1,Supercenter,3.40%
5285,3,Supercenter,3.50%
5287,5,Supercenter,5.00%
5288,5,Supercenter,3.20%
5292,2,Supercenter,4.20%
5293,1,Supercenter,8.20%
5296,3,Supercenter,4.30%
5298,2,Supercenter,1.80%
5299,2,Supercenter,3.90%
5300,2,Supercenter,2.60%
5301,2,Supercenter,4.10%
5303,7,Supercenter,4.40%
5307,4,Supercenter,2.00%
5309,3,Supercenter,7.20%
5311,5,Supercenter,1.30%
5312,5,Supercenter,3.70%
5313,4,Supercenter,1.30%
5316,5,Supercenter,4.60%
5317,5,Supercenter,3.00%
5319,3,Supercenter,1.90%
5320,2,Supercenter,3.70%
5325,2,Supercenter,9.70%
5326,2,Supercenter,6.30%
5329,7,Supercenter,2.40%
5330,7,Supercenter,3.20%
5331,7,Supercenter,2.20%
5334,6,Supercenter,13.20%
5335,7,Supercenter,5.10%
5337,7,Supercenter,9.20%
5341,6,Supercenter,7.00%
5342,7,Supercenter,1.90%
5343,1,Supercenter,4.10%
5346,2,Supercenter,2.10%
5348,2,Supercenter,3.00%
5350,6,Supercenter,1.40%
5352,3,Supercenter,4.10%
5355,3,Supercenter,5.30%
5359,5,Supercenter,2.00%
5361,4,Supercenter,2.50%
5363,2,Supercenter,3.20%
5368,6,Supercenter,2.40%
5369,7,Supercenter,1.30%
5370,6,Supercenter,5.70%
5373,3,Supercenter,2.20%
5374,3,Supercenter,3.70%
5376,3,Supercenter,5.20%
5385,3,Supercenter,3.60%
5386,3,Supercenter,3.10%
5387,3,Supercenter,3.90%
5388,5,Supercenter,1.70%
5389,5,Supercenter,1.20%
5390,2,Supercenter,4.30%
5391,2,Supercenter,3.60%
5392,2,Supercenter,4.50%
5394,7,Supercenter,5.00%
5396,6,Supercenter,3.30%
5397,4,Supercenter,2.40%
5398,3,Supercenter,6.70%
5399,3,Supercenter,3.00%
5402,3,Supercenter,4.00%
5403,3,Supercenter,3.20%
5409,3,Supercenter,6.60%
5410,3,Supercenter,4.50%
5411,3,Supercenter,4.40%
5416,5,Supercenter,4.30%
5417,3,Supercenter,3.20%
5418,3,Supercenter,10.10%
5419,2,Supercenter,3.30%
5420,2,Supercenter,1.60%
5422,2,Supercenter,3.20%
5424,6,Supercenter,2.40%
5425,7,Supercenter,3.20%
5428,7,Supercenter,1.70%
5429,7,Supercenter,2.40%
5430,5,Supercenter,1.30%
5433,5,Supercenter,2.60%
5435,7,Supercenter,6.80%
5441,4,Supercenter,3.10%
5442,3,Supercenter,5.40%
5443,3,Supercenter,3.70%
5444,3,Supercenter,1.80%
5449,5,Supercenter,3.20%
5455,2,Supercenter,2.50%
5458,6,Supercenter,1.50%
5460,5,Supercenter,3.70%
5462,6,Supercenter,3.90%
5466,3,Supercenter,3.70%
5471,3,Supercenter,4.50%
5472,3,Supercenter,2.50%
5477,4,Supercenter,2.80%
5478,5,Supercenter,1.40%
5479,5,Supercenter,4.40%
5480,5,Supercenter,2.20%
5481,2,Supercenter,3.00%
5482,2,Supercenter,2.50%
5483,3,SUPERCENTER,
5485,3,SUPERCENTER,8.80%
5486,3,Supercenter,5.80%
5487,2,Supercenter,3.30%
5488,1,Supercenter,2.10%
5489,2,Supercenter,3.90%
5491,5,Supercenter,1.40%
5492,5,Supercenter,2.80%
5493,5,Supercenter,1.70%
5494,6,Supercenter,3.10%
5497,1,Supercenter,4.60%
5498,1,Supercenter,4.60%
5499,3,Supercenter,3.00%
5612,5,Supercenter,2.40%
5616,2,Supercenter,2.20%
5626,7,Supercenter,5.20%
5628,6,SUPERCENTER,3.70%
5632,7,SUPERCENTER,8.00%
5641,7,Supercenter,4.60%
5644,7,Supercenter,7.40%
5667,3,Supercenter,6.70%
5668,3,Supercenter,6.30%
5669,3,Supercenter,4.50%
5671,2,Supercenter,7.50%
5672,5,Supercenter,1.80%
5673,5,Supercenter,2.70%
5676,6,Supercenter,2.50%
5687,7,Supercenter,5.50%
5701,7,Supercenter,13.40%
5703,2,Supercenter,4.40%
5705,2,Supercenter,4.50%
5706,5,Supercenter,4.40%
5707,5,Supercenter,2.50%
5709,2,Supercenter,2.80%
5710,7,Supercenter,6.80%
5713,5,Supercenter,2.80%
5727,2,Supercenter,2.30%
5728,3,Supercenter,1.40%
5731,1,Supercenter,2.30%
5732,1,Supercenter,2.50%
5735,2,Supercenter,6.00%
5743,2,Supercenter,1.40%
5745,2,Supercenter,3.20%
5747,2,Supercenter,6.20%
5748,4,Supercenter,2.40%
5751,7,Supercenter,6.40%
5753,1,Supercenter,7.60%
5761,3,Supercenter,5.00%
5763,6,Supercenter,2.10%
5764,5,Supercenter,3.60%
5766,7,Supercenter,8.10%
5768,7,Supercenter,3.90%
5772,2,Supercenter,5.00%
5779,1,Supercenter,2.30%
5781,3,Supercenter,12.60%
5786,2,Supercenter,2.80%
5787,2,Supercenter,1.80%
5797,2,Supercenter,5.60%
5799,7,Supercenter,4.30%
5808,5,Supercenter,2.70%
5809,5,Supercenter,1.90%
5810,5,Supercenter,4.40%
5812,2,Supercenter,6.80%
5814,2,Supercenter,4.70%
5823,5,Supercenter,3.10%
5835,7,Supercenter,1.70%
5839,6,Supercenter,2.80%
5841,6,SUPERCENTER,5.60%
5842,3,Supercenter,5.30%
5843,7,Supercenter,8.10%
5844,3,Supercenter,7.60%
5845,2,Supercenter,2.80%
5847,1,Supercenter,4.60%
5851,2,Supercenter,3.80%
5853,6,Supercenter,4.40%
5854,2,Supercenter,8.40%
5858,7,Supercenter,2.70%
5864,7,Supercenter,3.30%
5866,5,Supercenter,1.90%
5869,6,Supercenter,1.90%
5871,2,Supercenter,3.70%
5872,2,Supercenter,2.40%
5879,2,Supercenter,4.50%
5880,1,Supercenter,1.90%
5882,2,Supercenter,4.60%
5883,6,Supercenter,7.60%
5884,7,SUPERCENTER,8.90%
5886,7,Supercenter,3.60%
5889,5,Supercenter,3.30%
5890,7,Supercenter,14.50%
5893,3,Supercenter,10.90%
5894,2,Supercenter,2.90%
5898,5,Supercenter,4.10%
5899,6,Supercenter,4.30%
5911,2,Supercenter,5.60%
5912,2,Supercenter,11.50%
5929,6,Supercenter,4.50%
5930,7,Supercenter,3.00%
5931,5,Supercenter,4.50%
5932,2,Supercenter,4.90%
5935,6,SUPERCENTER,24.60%
5936,1,Supercenter,4.20%
5938,7,Supercenter,4.70%
5941,1,Supercenter,4.60%
5947,5,Supercenter,3.30%
5954,7,Supercenter,7.00%
5956,7,Supercenter,5.80%
5957,6,Supercenter,5.40%
5959,5,Supercenter,9.00%
5964,2,SUPERCENTER,
5965,3,Supercenter,11.00%
5969,1,Supercenter,4.70%
5976,4,Supercenter,15.20%
5977,4,Supercenter,2.50%
5992,4,Supercenter,2.30%
6173,2,SUPERCENTER,3.20%
6286,5,SUPERCENTER,
6370,2,SUPERCENTER,
6392,4,SUPERCENTER,6.90%
6394,3,SUPERCENTER,2.80%
6480,7,SUPERCENTER,
6576,2,SUPERCENTER,0.90%
6878,2,SUPERCENTER,
6887,2,SUPERCENTER,
6929,5,SUPERCENTER,
6951,3,SUPERCENTER,
6998,2,SUPERCENTER,1.80%
7009,2,SUPERCENTER,
7129,4,SUPERCENTER,2.20%
7238,2,Supercenter,1.20%
7243,2,SUPERCENTER,
7245,2,Supercenter,7.10%
7246,2,SUPERCENTER,8.70%
7247,2,Supercenter,4.80%
7249,4,SUPERCENTER,5.30%
