Store Number,A B Region,Store Type,FY 15 OOS Rate
1091,2,Supercenter,3.40%
1093,3,Supercenter,4.70%
1094,4,Supercenter,2.70%
1096,2,Supercenter,5.10%
1097,2,Supercenter,1.60%
1098,5,Supercenter,2.50%
1099,4,Supercenter,2.00%
1100,2,Supercenter,6.10%
1101,2,Supercenter,1.90%
1102,5,Supercenter,3.70%
1103,5,Supercenter,5.00%
1104,2,Supercenter,3.50%
1105,5,Supercenter,3.70%
1106,5,Supercenter,7.50%
1107,5,Supercenter,1.50%
1109,5,Supercenter,3.50%
1110,5,Supercenter,2.20%
1111,2,Supercenter,5.40%
1112,2,Supercenter,3.60%
1115,2,Supercenter,2.00%
1116,5,Supercenter,7.30%
1117,5,Supercenter,2.30%
1118,5,Supercenter,2.70%
1120,4,Supercenter,15.70%
1121,2,Supercenter,3.40%
1122,2,Supercenter,4.00%
1123,2,Supercenter,2.20%
1125,3,Supercenter,1.10%
1126,5,Supercenter,2.50%
1127,2,Supercenter,2.50%
1128,5,Supercenter,1.40%
1129,5,Supercenter,1.40%
1130,2,Supercenter,1.90%
1131,2,Supercenter,6.30%
