Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
919,3,13,4.03%,767,BASE STR SUPERCENTER,72,2,Fr
921,2,8,2.17%,57,BASE STR SUPERCENTER,28,6,TuFr
922,2,10,2.68%,564,BASE STR SUPERCENTER,32,3,MoFr
923,2,9,4.87%,339,BASE STR SUPERCENTER,32,3,MoTh
924,1,4,7.69%,130,BASE STR SUPERCENTER,20,6,We
927,3,13,4.59%,489,BASE STR SUPERCENTER,40,5,TuFr
929,3,13,3.28%,596,BASE STR SUPERCENTER,61,2,TuThSa
930,2,9,5.00%,331,BASE STR SUPERCENTER,41,2,Tu
931,3,13,3.88%,700,BASE STR SUPERCENTER,60,2,TuSa
932,2,9,3.74%,408,BASE STR SUPERCENTER,77,2,MoTh
933,2,9,2.95%,384,BASE STR SUPERCENTER,48,3,TuFr
934,2,9,4.03%,446,BASE STR SUPERCENTER,72,2,TuTh
935,2,9,1.87%,426,BASE STR SUPERCENTER,93,5,MoTh
936,2,9,1.50%,828,BASE STR SUPERCENTER,33,3,TuFr
937,2,9,3.61%,287,BASE STR SUPERCENTER,40,2,MoTh
938,2,9,2.02%,306,BASE STR SUPERCENTER,41,2,TuFr
939,2,9,2.84%,507,BASE STR SUPERCENTER,40,5,TuTh
940,2,8,4.21%,358,BASE STR SUPERCENTER,40,5,MoTh
942,3,13,1.74%,486,BASE STR SUPERCENTER,41,2,WeFr
943,3,13,1.36%,475,BASE STR SUPERCENTER,80,2,TuSa
944,3,13,2.36%,616,BASE STR SUPERCENTER,52,2,WeFr
945,2,8,2.77%,572,BASE STR SUPERCENTER,72,5,We
947,2,9,2.02%,648,BASE STR SUPERCENTER,72,5,MoTh
948,2,10,5.39%,438,BASE STR SUPERCENTER,48,2,TuFr
949,2,9,5.80%,397,BASE STR SUPERCENTER,64,5,TuFr
950,2,8,4.42%,286,BASE STR SUPERCENTER,72,2,MoTh
953,2,8,10.08%,132,BASE STR SUPERCENTER,21,6,Fr
954,2,9,2.11%,187,BASE STR SUPERCENTER,24,2,MoTh
955,2,9,2.27%,479,BASE STR SUPERCENTER,37,2,TuFr
958,2,9,1.51%,388,BASE STR SUPERCENTER,40,3,MoFr
959,3,13,8.07%,562,BASE STR SUPERCENTER,60,2,Sa
960,3,13,5.87%,558,BASE STR SUPERCENTER,36,2,Sa
961,2,9,9.95%,442,BASE STR SUPERCENTER,56,5,TuFr
962,1,6,0.84%,88,BASE STR SUPERCENTER,24,6,Fr
963,2,9,4.27%,615,BASE STR SUPERCENTER,72,5,TuFr
964,3,13,2.06%,1011,BASE STR SUPERCENTER,60.91666603,5,Sa
965,2,9,3.38%,390,BASE STR SUPERCENTER,28,3,TuFr
966,2,9,2.69%,87,BASE STR SUPERCENTER,16.91666603,6,MoTh
967,3,14,2.74%,626,BASE STR SUPERCENTER,60.91666603,2,Sa
968,1,5,1.49%,203,BASE STR SUPERCENTER,129.041666,2,Th
969,3,14,3.35%,598,BASE STR SUPERCENTER,72,2,MoWeFr
970,2,10,2.08%,654,BASE STR SUPERCENTER,56,2,MoFr
971,1,5,3.21%,193,BASE STR SUPERCENTER,24,3,Th
972,2,9,2.96%,509,BASE STR SUPERCENTER,60.91666603,5,TuFr
973,3,13,1.64%,736,BASE STR SUPERCENTER,55.25,2,TuSa
974,3,13,2.55%,643,BASE STR SUPERCENTER,36,2,Sa
975,3,14,2.76%,513,BASE STR SUPERCENTER,40.91666603,5,MoWeFr
976,2,9,4.54%,173,BASE STR SUPERCENTER,48,5,TuFr
978,2,9,3.73%,123,BASE STR SUPERCENTER,40,4,TuFr
979,1,5,4.83%,148,BASE STR SUPERCENTER,36.125,3,Th
980,2,8,5.94%,161,BASE STR SUPERCENTER,24,6,WeFr
981,2,9,6.72%,395,BASE STR SUPERCENTER,40.91666603,2,TuFr
982,1,4,3.34%,23,BASE STR SUPERCENTER,16,4,Fr
984,2,8,2.15%,88,BASE STR SUPERCENTER,16.91666603,6,MoTh
985,2,9,4.86%,253,BASE STR SUPERCENTER,36,4,MoTh
987,3,14,3.32%,881,BASE STR SUPERCENTER,72,2,Sa
988,3,13,5.46%,642,BASE STR SUPERCENTER,38.66666794,2,Mo
989,3,13,3.18%,409,BASE STR SUPERCENTER,64,5,Fr
990,3,13,4.36%,585,BASE STR SUPERCENTER,186.666666,2,MoFr
991,2,9,3.51%,408,BASE STR SUPERCENTER,60.91666603,2,Fr
992,2,9,2.98%,300,BASE STR SUPERCENTER,40,5,MoFr
993,2,9,1.77%,155,BASE STR SUPERCENTER,24,4,TuFr
994,3,13,1.42%,623,BASE STR SUPERCENTER,56,2,TuSa
995,1,6,1.94%,488,BASE STR SUPERCENTER,60,3,Th
999,2,10,2.30%,617,BASE STR SUPERCENTER,92,5,TuFr
1000,3,13,2.61%,589,BASE STR SUPERCENTER,40,5,Mo
1001,2,9,3.30%,110,BASE STR SUPERCENTER,16.91666603,6,TuFr
1002,2,9,1.75%,357,BASE STR SUPERCENTER,44,3,TuFr
1003,2,8,1.24%,400,BASE STR SUPERCENTER,60,3,Fr
1004,5,20,1.49%,884,BASE STR SUPERCENTER,48,2,TuFrSa
1005,2,10,2.65%,388,BASE STR SUPERCENTER,32,4,TuTh
1006,3,11,0.71%,338,BASE STR SUPERCENTER,48,2,MoFr
1007,2,9,6.61%,284,BASE STR SUPERCENTER,40,3,TuFr
1008,2,7,3.47%,95,BASE STR SUPERCENTER,24,6,Fr
1009,2,10,2.61%,454,BASE STR SUPERCENTER,60,4,Th
1010,2,9,4.72%,437,BASE STR SUPERCENTER,56,2,WeFr
1011,2,9,1.38%,409,BASE STR SUPERCENTER,48,2,MoTh
1012,2,9,1.09%,346,BASE STR SUPERCENTER,40.91666603,3,TuFr
1014,2,10,2.97%,370,BASE STR SUPERCENTER,44,4,MoWe
1015,3,13,2.15%,719,BASE STR SUPERCENTER,40,5,TuSa
1016,2,11,1.53%,554,BASE STR SUPERCENTER,56.91666603,5,Fr
1017,2,9,3.72%,706,BASE STR SUPERCENTER,24,2,TuTh
1018,2,9,4.95%,280,BASE STR SUPERCENTER,24,2,Fr
1019,2,9,1.19%,106,BASE STR SUPERCENTER,16.91666603,6,TuFr
1021,3,13,2.65%,647,BASE STR SUPERCENTER,60,4,TuFr
1022,2,9,2.55%,699,BASE STR SUPERCENTER,56,5,MoTh
1023,2,10,4.34%,412,BASE STR SUPERCENTER,48.91666603,1,TuFr
1024,2,9,3.88%,264,BASE STR SUPERCENTER,32,2,MoTh
1025,2,9,2.04%,304,BASE STR SUPERCENTER,40,2,TuFr
1026,2,9,6.03%,486,BASE STR SUPERCENTER,40,3,MoTh
1027,2,9,5.16%,352,BASE STR SUPERCENTER,60.91666603,2,TuFr
1028,3,13,2.83%,459,BASE STR SUPERCENTER,44,3,Sa
1029,3,13,1.69%,665,BASE STR SUPERCENTER,48,2,MoSa
1030,2,10,2.22%,586,BASE STR SUPERCENTER,40.91666603,2,TuFr
1032,3,15,2.12%,600,BASE STR SUPERCENTER,48.33333492,2,TuThFr
1033,2,9,2.61%,711,BASE STR SUPERCENTER,36,3,MoFr
1034,3,13,6.11%,607,BASE STR SUPERCENTER,40.91666603,2,MoWeFr
1035,3,13,1.87%,737,BASE STR SUPERCENTER,52,2,TuFr
1036,3,13,4.35%,557,BASE STR SUPERCENTER,44.91666603,2,MoWeFr
1037,2,9,2.99%,797,BASE STR SUPERCENTER,64.91666603,2,MoTh
