Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
725,5,21,6.39%,728,BASE STR SUPERCENTER,61,2,FrSa
726,2,9,5.71%,660,BASE STR SUPERCENTER,56,2,TuFr
727,1,4,2.84%,231,BASE STR SUPERCENTER,24,2,Mo
728,2,9,3.93%,481,BASE STR SUPERCENTER,72,2,TuFr
729,2,9,2.32%,498,BASE STR SUPERCENTER,40,3,TuFr
730,2,10,0.67%,663,BASE STR SUPERCENTER,56,2,MoTh
731,2,9,7.18%,517,BASE STR SUPERCENTER,64,2,TuFr
733,2,8,2.49%,295,BASE STR SUPERCENTER,24,2,Mo
734,2,9,3.54%,464,BASE STR SUPERCENTER,88,2,TuFr
735,2,9,3.34%,230,BASE STR SUPERCENTER,36,2,MoTh
736,2,9,2.99%,337,BASE STR SUPERCENTER,24,3,MoTh
737,2,9,2.46%,243,BASE STR SUPERCENTER,40,2,MoTh
738,4,17,1.70%,234,BASE STR SUPERCENTER,48,2,TuFr
740,2,9,3.52%,307,BASE STR SUPERCENTER,64,2,TuFr
741,2,9,5.81%,272,BASE STR SUPERCENTER,40,2,TuFr
742,2,9,3.43%,178,BASE STR SUPERCENTER,41,2,TuFr
743,2,8,1.90%,416,BASE STR SUPERCENTER,41,5,MoTh
744,2,9,5.85%,535,BASE STR SUPERCENTER,61,5,TuFr
745,2,9,4.33%,304,BASE STR SUPERCENTER,40,2,MoTh
746,2,9,4.93%,431,BASE STR SUPERCENTER,49,5,TuFr
748,2,9,1.47%,420,BASE STR SUPERCENTER,24,4,MoTh
750,2,9,1.28%,436,BASE STR SUPERCENTER,24,4,TuTh
751,2,9,1.67%,259,BASE STR SUPERCENTER,24,4,MoFr
752,2,9,3.85%,528,BASE STR SUPERCENTER,52,5,MoTh
753,2,10,0.84%,664,BASE STR SUPERCENTER,60,4,TuTh
754,2,9,1.84%,490,BASE STR SUPERCENTER,72,2,MoFr
755,2,10,2.05%,420,BASE STR SUPERCENTER,56,5,TuFr
756,2,8,5.84%,248,BASE STR SUPERCENTER,28,2,Fr
757,2,10,2.07%,596,BASE STR SUPERCENTER,61,5,TuFr
758,2,9,7.86%,222,BASE STR SUPERCENTER,32,2,MoFr
759,3,13,5.19%,461,BASE STR SUPERCENTER,24,2,Sa
761,2,10,4.66%,337,BASE STR SUPERCENTER,32,5,TuTh
762,2,9,3.38%,391,BASE STR SUPERCENTER,40,2,MoTh
763,2,9,3.88%,384,BASE STR SUPERCENTER,36,2,TuFr
764,3,13,6.32%,499,BASE STR SUPERCENTER,40,2,WeFr
765,2,10,3.19%,431,BASE STR SUPERCENTER,69,5,TuFr
766,2,9,6.20%,374,BASE STR SUPERCENTER,64,2,MoFr
767,3,14,2.44%,902,BASE STR SUPERCENTER,72,2,TuThFr
768,2,9,5.58%,489,BASE STR SUPERCENTER,60,5,TuFr
769,4,18,1.97%,986,BASE STR SUPERCENTER,151,2,TuThFrSa
770,2,9,3.36%,171,BASE STR SUPERCENTER,40,4,TuFr
771,3,13,3.42%,836,BASE STR SUPERCENTER,40,2,Fr
772,2,10,3.84%,343,BASE STR SUPERCENTER,56,5,MoTh
773,2,9,1.48%,362,BASE STR SUPERCENTER,40,5,TuFr
774,2,9,2.87%,667,BASE STR SUPERCENTER,56,4,TuFr
775,2,9,0.57%,409,BASE STR SUPERCENTER,40,3,Fr
776,2,9,2.70%,724,BASE STR SUPERCENTER,72,4,TuFr
777,2,9,4.84%,523,BASE STR SUPERCENTER,68,5,TuFr
778,3,13,2.38%,1055,BASE STR SUPERCENTER,117,2,Sa
779,3,13,5.40%,330,BASE STR SUPERCENTER,62,2,Fr
780,2,9,2.34%,554,BASE STR SUPERCENTER,69,2,MoTh
781,2,10,1.45%,472,BASE STR SUPERCENTER,72,5,MoTh
782,2,10,2.75%,596,BASE STR SUPERCENTER,76,5,TuFr
784,2,9,1.07%,500,BASE STR SUPERCENTER,24,4,MoTh
785,3,12,4.66%,247,BASE STR SUPERCENTER,24,2,TuFr
786,2,11,1.58%,369,BASE STR SUPERCENTER,40,3,TuTh
787,2,9,5.75%,217,BASE STR SUPERCENTER,40,3,MoFr
789,2,10,2.70%,485,BASE STR SUPERCENTER,77,2,TuTh
790,2,9,2.30%,502,BASE STR SUPERCENTER,48,5,TuFr
791,2,9,3.58%,394,BASE STR SUPERCENTER,64,4,MoTh
793,2,6,,193,BASE STR SUPERCENTER,40,3,Tu
794,3,11,4.28%,179,BASE STR SUPERCENTER,31,5,TuFr
795,2,9,1.56%,651,BASE STR SUPERCENTER,28,4,TuFr
796,2,10,3.88%,552,BASE STR SUPERCENTER,76,2,Mo
797,2,10,1.92%,584,BASE STR SUPERCENTER,56,3,MoTh
798,2,9,1.20%,384,BASE STR SUPERCENTER,48,4,TuTh
799,2,9,5.01%,187,BASE STR SUPERCENTER,32,3,TuFr
800,3,13,3.58%,639,BASE STR SUPERCENTER,40,4,Sa
801,2,9,2.02%,410,BASE STR SUPERCENTER,48,2,TuFr
802,3,11,6.03%,369,BASE STR SUPERCENTER,44,4,MoFr
803,2,9,5.91%,220,BASE STR SUPERCENTER,44,3,MoTh
804,2,8,0.83%,483,BASE STR SUPERCENTER,76,5,TuTh
805,2,10,2.74%,656,BASE STR SUPERCENTER,40,5,TuTh
806,2,9,2.41%,884,BASE STR SUPERCENTER,92,4,TuTh
807,2,9,4.40%,392,BASE STR SUPERCENTER,57,5,TuFr
808,2,9,4.94%,914,BASE STR SUPERCENTER,104,5,TuFr
809,2,10,5.78%,511,BASE STR SUPERCENTER,72,5,TuFr
