Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
1861,62220,COLLEGE CITY BEVERAGE,4,0.039,85,1,448,Mo,5,1
1871,83130,EAGLE BEVERAGE,1,0.036,60,5,635,MoTuWeThFr,20,1
1874,40925,PEACE RIVER DISTRIBUTING,2,0.043,179,4,1014,Sa,18,1
1903,90489,MARKSTEIN BEV CO OF SACRAMENTO,7,0.048,40,2,702,TuFr,10,1
1909,33107,TRY-IT DISTRIBUTING CO,1,0.057,144,4,1314,Mo,17,1
1915,60400,ANHEUSER-BUSCH,7,0.062,60,2,594,TuFr,9,1
1932,31804,MAINE DISTRIBUTORS,1,0.04,72,2,505,TuFr,9,1
1936,72175,MARCHETTI DISTRIBUTING,3,0.059,100,5,1680,MoFr,21,1
1949,3142,ARTHUR R GREN,1,0.043,40,2,640,MoTh,10,1
1956,72508,INTERMOUNTAIN DISTRIBUTING,6,0.036,61,5,644,MoSa,21,1
1965,71424,DOLL DISTRIBUTING,4,0.032,60,3,630,MoWeFr,13,1
1976,23125,SENECA BEVERAGE,1,0.039,76,3,482,Fr,13,1
1978,61346,MID AMERICA BEVERAGE,3,0.036,52,2,594,MoTu,9,1
1982,24804,WISCONSIN DIST APPLETON,3,0.041,69,2,417,MoTh,9,1
1987,62155,FABIANO BROTHERS,3,0.039,56,2,454,TuTh,9,1
1988,50405,NOR-CAL BEVERAGE,7,0.055,68,2,402,TuFr,11,1
1991,51311,BEST BEERS OF BLOOMINGTON,3,0.06,60,2,482,MoTh,9,1
2005,33213,"ADAMS BEVERAGES OF NC, LLC ",2,0.033,61,2,447,MoTh,9,1
2014,62155,FABIANO BROTHERS,3,0.035,96,3,841,Fr,15,1
2021,62035,QUALITY BEVERAGE,1,0.032,60,2,423,TuFr,9,1
2048,90489,MARKSTEIN BEV CO OF SACRAMENTO,7,0.049,64,2,458,TuFr,9,1
2050,32711,NEVADA BEVERAGE,7,0.031,60,2,510,TuFr,9,1
2053,80498,ROBERT E CARTER,7,0.036,44,2,555,WeFr,9,1
2055,2813,NEW HAMPSHIRE DISTRIBUTORS,1,0.041,60,2,757,TuFr,10,1
2066,94240,SILVER EAGLE DISTRIBUTORS,5,0.045,64,2,414,TuFr,10,1
2079,52171,GRIFFIN BEVERAGE,3,0.04,81,4,639,Mo,18,1
2084,72551,CARDINAL DISTRIBUTING,6,0.031,72,5,411,None,21,1
2113,10261,HENSLEY & CO PHOENIX,7,0.031,57,2,562,TuFr,9,1
2116,13198,SARATOGA EAGLE SALES,1,0.044,84,3,473,WeFr,12,1
2142,72857,BELLAVANCE BEVERAGE,1,0.041,92,2,881,TuFr,10,1
2187,14697,COLUMBIA DISTRIBUTING,6,0.031,48,2,469,TuTh,9,1
2192,52132,PETERLIN BROS,3,0.033,64,4,401,MoWeFr,18,1
2214,33916,K W ASSOCIATES,2,0.048,72,3,437,MoTh,12,1
2234,73175,TRI-VALLEY BEVERAGE,1,0.039,68,2,519,TuFr,9,1
2237,70911,SUNCOAST BEVERAGE SALES,2,0.036,60,3,811,FrSa,13,1
2239,44276,SILVER EAGLE DISTRIBUTORS,5,0.043,64,2,631,TuFr,10,1
2262,23161,NORTHERN EAGLE BEVERAGES,1,0.05,56,4,495,Fr,17,1
2265,53929,BUD OF GREENVILLE,2,0.035,40,2,584,TuFr,9,1
2306,10194,GREENE BEVERAGE,2,0.053,61,3,638,TuFr,13,1
2325,84627,OLYMPIC EAGLE DISTRIBUTING,6,0.053,84,2,495,MoTh,8,1
2348,23912,SOUTHERN EAGLE OF SC,2,0.047,52,2,547,MoTh,9,1
2387,40908,PEPIN DISTRIBUTING,2,0.076,72,3,458,MoFr,13,1
2444,73175,TRI-VALLEY BEVERAGE,1,0.033,64,2,468,TuFr,9,1
2455,92569,EAGLE BEVERAGE,6,0.031,61,4,767,MoWeFrSa,17,1
2479,10475,A-B SALES OF SAN DIEGO,7,0.061,60,2,478,Fr,9,1
2534,30134,ADAMS BEVERAGES,2,0.037,64,2,511,TuFr,9,1
2537,80453,FOOTHILL DISTRIBUTING,7,0.041,88,3,673,TuThSa,14,1
2580,43231,R A JEFFREYS DISTRIBUTING,2,0.035,48,2,518,TuFr,11,1
2595,84614,CROWN DISTRIBUTING,6,0.068,72,3,475,MoWeFr,13,1
2596,84614,CROWN DISTRIBUTING,6,0.047,47,3,567,WeFr,12,1
2612,44223,L & F DISTRIBUTORS,5,0.033,72,3,829,Sa,14,1
2626,70923,NORTH FLORIDA SALES,2,0.035,64,3,931,Sa,13,1
2688,84245,R & K DISTRIBUTORS,5,0.044,61,2,488,MoTh,9,1
2712,43926,BETTER BRANDS,2,0.039,69,3,982,Fr,12,1
2716,61413,7G DISTRIBUTING,4,0.04,57,2,861,TuFr,9,1
2724,94240,SILVER EAGLE DISTRIBUTORS,5,0.039,84,2,709,TuFr,10,1
2727,10986,EAGLE BRANDS,2,0.081,73,2,489,TuFr,10,1
2728,51229,SKEFF DISTRIBUTING,3,0.031,49,2,585,TuFr,9,1
2748,20162,BUDWEISER-BUSCH DIST,2,0.036,117,3,1219,TuFr,15,1
2766,10261,HENSLEY & CO PHOENIX,7,0.043,81,2,417,MoTh,9,1
2772,73291,R.A. JEFFREYS OF WILMINGTON,2,0.039,48,2,523,MoTh,9,1
2793,53234,R H BARRINGER,2,0.031,41,2,560,MoTh,9,1
2796,40915,GREAT BAY DISTRIBUTORS,2,0.04,61,3,577,Sa,13,1
2807,94577,VIRGINIA EAGLE DISTRIBUTING,1,0.036,48,2,535,Th,8,1
2869,42146,M & M DISTRIBUTORS,3,0.039,56,2,405,TuFr,9,1
2920,70918,NORTH FLORIDA SALES,2,0.034,61,3,505,Sa,13,1
2950,70400,ANHEUSER-BUSCH,7,0.037,80,3,684,We,14,1
2951,70400,ANHEUSER-BUSCH,7,0.043,76,3,701,Fr,15,1
2958,24804,WISCONSIN DIST APPLETON,3,0.033,73,2,521,MoFr,9,1
2990,14028,ELLWEIN BROTHERS DISTRIBUTING,4,0.031,61,3,782,Fr,11,1
2992,23125,SENECA BEVERAGE,1,0.044,60,4,553,MoTuThFr,17,1
3014,64221,BEN E KEITH COMPANY,5,0.033,76,2,467,TuFr,9,1
3106,44276,SILVER EAGLE DISTRIBUTORS,5,0.032,96,2,656,TuFr,10,1
3136,44223,DESERT EAGLE DISTRIBUTING,5,0.043,84,3,926,TuFrSa,15,1
3213,94216,SILVER EAGLE DISTRIBUTING,5,0.036,61,2,460,MoTh,9,1
3221,23125,SENECA BEVERAGE,1,0.034,80,2,445,TuFr,9,1
3226,94262,SILVER EAGLE DIST LP - CYPRESS,5,0.053,57,3,526,TuFr,11,1
3237,4091,BEAL DISTRIBUTING,4,0.032,60,2,414,MoTh,10,1
3254,42720,MORREY DISTRIBUTING,7,0.041,72,2,542,WeFr,10,1
3262,3461,MATESICH DISTRIBUTING,3,0.055,61,2,458,TuFr,9,1
3278,72648,DOUBLE EAGLE BEVERAGE,4,0.045,61,2,526,MoTh,10,1
3334,13198,SARATOGA EAGLE SALES,1,0.042,64,2,458,TuFr,9,1
3344,64524,VIRGINIA EAGLE,1,0.033,56,3,659,MoFr,13,1
3352,40451,DELTA SIERRA DISTRIBUTING,7,0.046,68,2,465,MoTh,9,1
3367,23912,SOUTHERN EAGLE OF SC,2,0.043,60,2,472,TuFr,9,1
3371,33213,"ADAMS BEVERAGES OF NC, LLC ",2,0.043,76,2,489,MoTh,9,1
3380,4699,KING BEVERAGE,6,0.033,76,2,497,TuFr,9,1
3418,40908,PEPIN DISTRIBUTING CO,2,0.05,80,3,414,Mo,13,1
3428,3023,PREMIER DISTRIBUTING,5,0.036,56,2,570,WeFr,10,1
3433,64221,BEN E KEITH,5,0.033,68,2,563,TuFr,9,1
3522,70441,A-B SALES OF POMONA,7,0.07,68,2,501,TuFr,9,1
3525,84627,OLYMPIC EAGLE DISTRIBUTING,6,0.042,60,2,440,TuFr,9,1
3527,40979,SOUTHERN EAGLE,2,0.046,56,3,514,TuSa,13,1
3538,10903,CARROLL DISTRIBUTING,2,0.056,61,3,450,Fr,13,1
3572,94231,DEL PAPA DISTRIBUTING,5,0.032,61,2,463,TuTh,9,1
